City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,ahuimanu,21.44,-157.84,75.0,93,90,8.05,US,1581196326
118,tuktoyaktuk,69.45,-133.04,-32.8,66,75,3.36,CA,1581196326
119,qaanaaq,77.48,-69.36,-23.24,66,0,4.34,GL,1581196326
120,vallenar,-28.57,-70.76,71.91,54,0,11.39,CL,1581196219
121,acajutla,13.59,-89.83,91.4,36,20,2.24,SV,1581196326
122,hithadhoo,-0.6,73.08,82.22,78,100,11.61,MV,1581196326
123,wahiawa,21.5,-158.02,75.0,93,90,8.05,US,1581196326
124,carnarvon,-24.87,113.63,75.2,88,33,21.92,AU,1581196263
125,los llanos de aridane,28.66,-17.92,66.2,72,20,14.99,ES,1581196326
126,high level,58.52,-117.14,14.0,92,75,2.24,CA,1581196326
127,yellowknife,62.46,-114.35,-5.01,76,40,6.93,CA,1581196326
128,buraydah,26.33,43.98,59.0,47,0,8.05,SA,1581196327
129,fernley,39.61,-119.25,62.6,13,1,17.22,US,1581196327
130,souillac,-20.52,57.52,78.8,78,40,5.82,MU,1581196327
131,sam chuk,14.76,100.09,78.01,69,34,4.74,TH,1581196327
132,novomalorossiyskaya,45.63,39.89,21.74,59,52,5.01,RU,1581196327
133,karasburg,-28.02,18.75,69.46,45,0,19.82,NA,1581196327
134,dok kham tai,19.16,99.99,70.21,55,53,1.39,TH,1581196327
135,abha,18.22,42.51,60.8,87,0,2.73,SA,1581196327
136,jacqueville,5.21,-4.41,84.2,83,70,8.05,CI,1581196327
137,andra,62.51,65.89,-12.12,95,0,4.25,RU,1581196327
138,esperance,-33.87,121.9,62.6,93,90,18.34,AU,1581196327
139,rafraf,37.19,10.18,51.8,62,20,3.36,TN,1581196327
140,kavaratti,10.57,72.64,79.63,68,12,6.93,IN,1581196327
141,pangnirtung,66.15,-65.71,-23.8,74,20,2.24,CA,1581196327
142,tasiilaq,65.61,-37.64,30.2,86,100,47.2,GL,1581196327
143,murdochville,48.96,-65.5,3.69,91,100,3.15,CA,1581196327
144,aswan,24.09,32.91,53.11,36,100,10.8,EG,1581196327
145,kamennomostskiy,44.3,40.19,16.99,92,99,2.13,RU,1581196327
146,trinidad,-14.83,-64.9,89.6,62,75,13.87,BO,1581196328
147,bitkine,11.98,18.21,75.47,20,67,7.56,TD,1581196328
148,georgetown,5.41,100.34,80.6,69,40,6.93,MY,1581196178
149,vostok,46.49,135.88,-19.77,99,100,1.88,RU,1581196056
150,olafsvik,64.89,-23.71,34.48,79,100,10.29,IS,1581196328
151,hasaki,35.73,140.83,30.2,63,20,13.87,JP,1581196328
152,mopipi,-21.18,24.88,78.22,60,0,9.93,BW,1581196328
153,siirt,37.93,41.94,25.99,95,100,8.01,TR,1581196328
154,kaitangata,-46.28,169.85,60.01,61,99,5.99,NZ,1581196328
155,puerto ayora,-0.74,-90.35,84.2,70,20,17.22,EC,1581196328
156,megion,61.03,76.11,-2.2,84,90,6.71,RU,1581196328
157,viedma,-40.81,-63.0,65.53,52,0,13.35,AR,1581196328
158,changqing,36.56,116.73,39.99,79,0,8.39,CN,1581196328
159,bengkulu,-3.8,102.27,71.49,88,100,3.36,ID,1581196328
160,geraldton,-28.77,114.6,69.8,68,14,17.22,AU,1581196328
161,coquimbo,-29.95,-71.34,68.0,68,0,12.75,CL,1581196328
162,cabo san lucas,22.89,-109.91,79.0,46,40,8.72,MX,1581196169
163,mount gambier,-37.83,140.77,60.8,93,33,6.93,AU,1581196206
164,deputatskiy,69.3,139.9,-44.14,99,67,1.57,RU,1581196329
165,primorsk,46.73,36.34,23.25,68,100,18.54,UA,1581196329
166,karratha,-20.74,116.85,83.43,78,100,30.36,AU,1581196329
167,nenjiang,49.18,125.22,-5.24,100,100,5.61,CN,1581196329
168,laguna,38.42,-121.42,63.0,67,1,5.82,US,1581196329
169,bonavista,48.65,-53.11,26.01,75,93,17.0,CA,1581196329
170,saldanha,-33.01,17.94,64.4,82,0,9.17,ZA,1581196329
171,barrow,71.29,-156.79,-36.4,98,20,4.7,US,1581196329
172,chingirlau,51.09,54.08,-1.08,95,35,8.28,KZ,1581196329
173,mancio lima,-7.61,-72.9,89.6,59,40,8.05,BR,1581196329
174,pajusti,59.28,26.41,35.37,90,100,9.64,EE,1581196329
